video_id,content_original_id,platform,publish_date,total_views,watch_time_minutes
vid_1121994,vid_033817,YouTube,2025-09-07,45,149.0
vid_1121994,vid_033817,YouTube,2025-09-07,45,149.0
vid_1121994,vid_033817,YouTube,2025-09-07,45,149.0
vid_1121994,vid_027868,YouTube,2025-09-07,45,149.0
vid_1121994,vid_033817,YouTube,2025-09-07,45,149.0
vid_1121994,vid_036123,YouTube,2025-09-07,45,149.0
vid_1121994,vid_036594,YouTube,2025-09-07,45,149.0
vid_1121994,vid_033817,YouTube,2025-09-07,45,149.0
vid_1121994,vid_034191,YouTube,2025-09-07,45,149.0
vid_1121994,vid_036212,YouTube,2025-09-07,45,149.0
vid_1121994,vid_023094,YouTube,2025-09-07,45,149.0
vid_1121994,vid_033817,YouTube,2025-09-07,45,149.0
vid_1121994,vid_033817,YouTube,2025-09-07,45,149.0
vid_1121994,vid_022721,YouTube,2025-09-07,45,149.0
vid_1121994,vid_034314,YouTube,2025-09-07,45,149.0
vid_1131675,vid_033817,YouTube,2025-08-31,28,189.0
vid_1131675,vid_033817,YouTube,2025-08-31,28,189.0
vid_1131675,vid_033817,YouTube,2025-08-31,28,189.0
vid_1131675,vid_027868,YouTube,2025-08-31,28,189.0
vid_1131675,vid_033817,YouTube,2025-08-31,28,189.0
vid_1131675,vid_036123,YouTube,2025-08-31,28,189.0
vid_1131675,vid_036594,YouTube,2025-08-31,28,189.0
vid_1131675,vid_033817,YouTube,2025-08-31,28,189.0
vid_1131675,vid_034191,YouTube,2025-08-31,28,189.0
vid_1131675,vid_036212,YouTube,2025-08-31,28,189.0
vid_1131675,vid_023094,YouTube,2025-08-31,28,189.0
vid_1131675,vid_033817,YouTube,2025-08-31,28,189.0
vid_1131675,vid_033817,YouTube,2025-08-31,28,189.0
vid_1131675,vid_022721,YouTube,2025-08-31,28,189.0
vid_1131675,vid_034314,YouTube,2025-08-31,28,189.0
vid_1131386,vid_041498,YouTube,2025-11-11,2729,1411.32
vid_1129755,vid_070235,YouTube,2025-11-27,1102,304.04
vid_1127093,vid_039405,YouTube,2025-08-31,264,857.0
vid_1127093,vid_033821,YouTube,2025-08-31,264,857.0
vid_1127093,vid_046483,YouTube,2025-08-31,264,857.0
vid_1127093,vid_033821,YouTube,2025-08-31,264,857.0
vid_1127093,vid_033821,YouTube,2025-08-31,264,857.0
vid_1127093,vid_033821,YouTube,2025-08-31,264,857.0
vid_1127093,vid_039452,YouTube,2025-08-31,264,857.0
vid_1127093,vid_033821,YouTube,2025-08-31,264,857.0
vid_1127093,vid_033821,YouTube,2025-08-31,264,857.0
vid_1127093,vid_039395,YouTube,2025-08-31,264,857.0
vid_1127093,vid_033821,YouTube,2025-08-31,264,857.0
vid_1127093,vid_023534,YouTube,2025-08-31,264,857.0
vid_1127093,vid_033821,YouTube,2025-08-31,264,857.0
vid_1127093,vid_039462,YouTube,2025-08-31,264,857.0
